student_id,name,gender,age,department,region,attendance_pct,study_hours_per_day,math_score,science_score,english_score,programming_score,tamil_score,part_time_job,internet_access,parent_education,family_income_lpa
STU1000,Pradeep Krishnan,Male,20,Civil,Tirunelveli,78.4,4.0,47.0,53.0,69,70,73,No,Yes,Graduate,1.5
STU1001,Bhavani Devi,Female,20,Electronics,Madurai,67.8,7.5,62.0,47.0,53,83,92,No,Yes,Graduate,1.6
STU1002,Suresh Velu,Male,21,Information Technology,Trichy,80.1,4.5,92.0,77.0,83,45,90,Yes,Yes,Post-Graduate,2.3
STU1003,Ganesh Narayanan,Male,21,Mechanical,Trichy,80.9,5.5,93.0,64.0,100,53,86,Yes,No,Post-Graduate,8.6
STU1004,Arjun Subramanian,Male,19,Computer Science,Vellore,67.7,4.8,46.0,47.0,64,100,100,No,No,Post-Graduate,3.1
STU1005,Kavya Pillai,Female,20,Computer Science,Coimbatore,67.4,4.0,51.0,77.0,66,88,81,Yes,Yes,Graduate,5.1
STU1006,Karthik Pillai,Male,20,Computer Science,Chennai,89.5,1.6,64.0,57.0,38,71,84,No,Yes,Diploma,2.2
STU1007,Bala Kumar,Male,22,Electronics,Coimbatore,77.4,4.4,81.0,53.0,86,56,81,No,Yes,Post-Graduate,1.4
STU1008,Dinesh Raj,Male,21,Civil,Madurai,,9.4,41.0,62.0,81,59,79,No,Yes,Graduate,13.9
STU1009,Sneha Kumar,Female,20,Information Technology,Trichy,73.6,2.6,67.0,86.0,49,51,76,No,Yes,School,4.2
STU1010,Mohan Rajan,Male,19,Mechanical,Coimbatore,65.9,1.8,61.0,,45,42,68,No,Yes,Graduate,12.2
STU1011,Dinesh Narayanan,Male,19,Mechanical,Chennai,77.2,7.4,88.0,73.0,47,80,58,No,Yes,Graduate,1.0
STU1012,Vijay Selvam,Male,20,Electronics,Vellore,88.0,5.6,43.0,75.0,78,73,71,No,Yes,Post-Graduate,1.0
STU1013,Siva Velu,Male,21,Computer Science,Coimbatore,77.7,4.8,69.0,71.0,79,76,78,No,No,Graduate,8.7
STU1014,Keerthana Kumar,Female,19,Electronics,Salem,100.0,6.5,62.0,83.0,59,57,73,No,Yes,Diploma,5.1
STU1015,Siva Krishnan,Male,22,Civil,Vellore,83.1,3.3,90.0,55.0,76,68,60,No,Yes,Post-Graduate,1.0
STU1016,Deepa Pandian,Female,19,Civil,Chennai,80.8,4.3,77.0,,72,55,70,Yes,Yes,Graduate,1.4
STU1017,Sneha Subramanian,Female,18,Information Technology,Madurai,67.1,5.9,59.0,50.0,66,50,70,No,Yes,Graduate,7.3
STU1018,Lakshmi Shankar,Female,18,Information Technology,Trichy,75.1,7.7,81.0,63.0,82,93,71,Yes,Yes,Diploma,2.7
STU1019,Ganesh Kumar,Male,21,Civil,Coimbatore,68.7,2.7,62.0,52.0,56,65,77,No,Yes,Diploma,5.0
STU1020,Deepa Krishnan,Female,20,Civil,Chennai,52.0,6.4,83.0,67.0,84,72,80,Yes,Yes,Graduate,1.7
STU1021,Pradeep Velu,Male,21,Civil,Vellore,,5.1,64.0,66.0,61,78,66,No,Yes,School,2.2
STU1022,Ananya Krishnan,Female,21,Electronics,Salem,71.9,4.7,84.0,79.0,91,65,83,No,Yes,Diploma,21.1
STU1023,Divya Subramanian,Female,21,Civil,Chennai,68.9,4.5,75.0,69.0,58,67,84,Yes,No,Graduate,1.3
STU1024,Deepa Selvam,Female,21,Mechanical,Erode,80.5,2.4,100.0,59.0,66,43,76,No,Yes,Diploma,3.2
STU1025,Divya Krishnan,Female,22,Computer Science,Tirunelveli,84.1,5.9,67.0,71.0,71,47,79,No,Yes,Diploma,8.4
STU1026,Priya Pandian,Female,22,Civil,Salem,74.2,3.3,74.0,51.0,71,46,83,No,Yes,School,1.2
STU1027,Nithya Krishnan,Female,19,Computer Science,Vellore,78.0,2.9,61.0,64.0,76,74,60,No,Yes,Diploma,2.4
STU1028,Priya Krishnan,Female,18,Electronics,Madurai,87.0,5.8,68.0,69.0,55,64,84,No,Yes,Graduate,4.3
STU1029,Saranya Krishnan,Female,21,Computer Science,Trichy,73.7,5.7,27.0,67.0,70,47,63,No,Yes,Diploma,3.0
STU1030,Mani Devi,Male,19,Electronics,Vellore,81.6,4.6,75.0,71.0,72,73,64,No,Yes,No Schooling,2.8
