student_id,name,gender,age,department,region,attendance_pct,study_hours_per_day,math_score,science_score,english_score,programming_score,tamil_score,part_time_job,internet_access,parent_education,family_income_lpa
STU1000,Pradeep Krishnan,Male,20,Civil,Tirunelveli,78.4,4,47,53,69,70,73,No,Yes,Graduate,1.5
STU1001,Bhavani Devi,Female,20,Electronics,Madurai,67.8,7.5,62,47,53,83,92,No,Yes,Graduate,1.6
STU1002,Suresh Velu,Male,21,Information Technology,Trichy,80.1,4.5,92,77,83,45,90,Yes,Yes,Post-Graduate,2.3
STU1003,Ganesh Narayanan,Male,21,Mechanical,Trichy,80.9,5.5,93,64,100,53,86,Yes,No,Post-Graduate,8.6
STU1004,Arjun Subramanian,Male,19,Computer Science,Vellore,67.7,4.8,46,47,64,100,100,No,No,Post-Graduate,3.1
STU1005,Kavya Pillai,Female,20,Computer Science,Coimbatore,67.4,4,51,77,66,88,81,Yes,Yes,Graduate,5.1
STU1006,Karthik Pillai,Male,20,Computer Science,Chennai,89.5,1.6,64,57,38,71,84,No,Yes,Diploma,2.2
STU1007,Bala Kumar,Male,22,Electronics,Coimbatore,77.4,4.4,81,53,86,56,81,No,Yes,Post-Graduate,1.4
STU1008,Dinesh Raj,Male,21,Civil,Madurai,,9.4,41,62,81,59,79,No,Yes,Graduate,13.9
STU1009,Sneha Kumar,Female,20,Information Technology,Trichy,73.6,2.6,67,86,49,51,76,No,Yes,School,4.2
STU1010,Mohan Rajan,Male,19,Mechanical,Coimbatore,65.9,1.8,61,,45,42,68,No,Yes,Graduate,12.2
STU1011,Dinesh Narayanan,Male,19,Mechanical,Chennai,77.2,7.4,88,73,47,80,58,No,Yes,Graduate,1
STU1012,Vijay Selvam,Male,20,Electronics,Vellore,88,5.6,43,75,78,73,71,No,Yes,Post-Graduate,1
STU1013,Siva Velu,Male,21,Computer Science,Coimbatore,77.7,4.8,69,71,79,76,78,No,No,Graduate,8.7
