PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,2,"Johnson, Mrs. Emma",female,27.4,0,0,718985,18.2249,,S
2,1,3,"Wilson, Miss. Emma",female,12.9,0,0,701323,6.5113,D62,C
3,1,3,"Davis, Mr. George",male,39.6,0,2,921439,38.0197,,S
4,1,3,"Anderson, Miss. Margaret",female,35.8,0,0,253244,3.6581,,S
5,1,1,"Smith, Mr. Edward",male,46.9,0,0,150251,55.8612,,S
6,1,1,"Wilson, Rev. Charles",male,50.3,0,0,890872,70.8563,,S
7,1,1,"Smith, Mrs. Mary",female,33,1,0,533743,171.9383,,C
8,0,3,"Johnson, Mr. Thomas",male,,0,2,903081,10.8825,B81,S
9,0,3,"Anderson, Rev. Thomas",male,36,0,0,502426,32.3124,,S
10,1,3,"Brown, Mr. Henry",male,21.2,0,2,21955,0,,Q
11,1,1,"Davis, Mr. James",male,,1,0,779432,35.108,,S
12,1,3,"Brown, Mr. James",male,31.8,1,0,410414,0,,S
13,0,3,"Miller, Col. John",male,25.3,0,0,470372,21.0852,,S
14,1,1,"Jones, Dr. William",male,32.4,0,1,316732,175.0888,,S
15,1,1,"Taylor, Miss. Florence",female,23.7,0,0,414982,106.4394,,S
16,1,1,"Smith, Miss. Margaret",female,,0,0,106626,40.9509,,C
17,1,2,"Brown, Mr. Charles",male,45.6,0,0,718930,15.998,,S
18,0,3,"Anderson, Dr. Edward",male,21.5,1,0,866306,29.0861,,S
19,0,2,"Jones, Col. Charles",male,16.4,0,2,714039,37.3674,C25,C
20,0,2,"Williams, Mr. William",male,37,1,0,387261,19.167,F22,S
21,0,3,"Brown, Mr. George",male,45.4,0,0,932805,5.6121,D75,S
22,0,1,"Wilson, Mr. George",male,39.3,0,0,680504,187.7539,,S
23,0,2,"Anderson, Mr. George",male,42.9,1,0,417000,31.9898,C56,C
24,0,2,"Davis, Mr. Robert",male,20.2,0,2,602247,40.5984,G131,C
25,0,3,"Davis, Mr. Henry",male,11.5,0,0,542560,23.0701,F15,Q
26,0,3,"Brown, Col. James",male,49.5,0,0,142645,24.4699,,C
27,1,1,"Wilson, Miss. Sarah",female,7.5,0,1,34419,139.2999,,S
28,0,3,"Wilson, Mrs. Margaret",female,40.7,5,0,747699,22.8864,F141,S
29,0,3,"Taylor, Mr. Arthur",male,47.3,0,0,501986,16.219,,C
30,1,1,"Wilson, Miss. Ellen",female,22,5,0,58555,102.153,,S
31,0,3,"Brown, Col. Edward",male,35.9,4,0,146248,21.1589,F36,S
32,1,1,"Anderson, Lady. Alice",female,52.9,1,0,177233,252.9063,,S
33,1,1,"Smith, Miss. Elizabeth",female,63,0,2,728800,126.144,,S
34,1,3,"Brown, Mr. Henry",male,42.1,0,0,773421,0.0543,,C
35,0,3,"Wilson, Dr. George",male,30.7,1,0,724222,8.3635,G140,S
36,1,3,"Miller, Mr. William",male,33.5,0,2,132082,11.8613,,S
37,0,2,"Jones, Mr. William",male,,0,0,680524,41.8266,,Q
38,1,1,"Brown, Mr. George",male,36.6,0,0,480974,257.0716,,S
39,1,3,"Anderson, Mr. John",male,,0,0,519939,12.7804,G11,S
40,1,2,"Jones, Mr. Charles",male,,0,2,559667,19.7145,,S
41,1,1,"Smith, Miss. Ellen",female,33.5,0,0,232261,68.2972,B89,C
42,1,3,"Wilson, Miss. Mary",female,35.7,0,1,290512,19.7946,A69,C
43,0,1,"Jones, Col. James",male,16.4,1,1,754401,155.8794,,C
44,0,3,"Smith, Mr. John",male,,0,0,435987,12.9658,,S
45,0,2,"Taylor, Mr. William",male,56.7,2,0,468166,26.3321,,S
46,0,3,"Smith, Mr. Robert",male,15.7,1,1,181317,7.0181,,C
47,1,2,"Taylor, Miss. Elizabeth",female,12.7,1,0,638590,10,,C
48,0,3,"Jones, Rev. Charles",male,26.4,0,1,633194,20.2834,G33,S
49,0,3,"Wilson, Mr. Arthur",male,34,1,2,577615,14.0515,G104,S
50,0,1,"Miller, Mr. Charles",male,40.6,0,0,711814,70.2655,,Q
51,0,3,"Miller, Mr. George",male,41.2,1,0,890219,20.9206,,C
52,1,3,"Taylor, Miss. Elizabeth",female,26.9,0,1,526596,0.0957,,C
53,1,3,"Davis, Miss. Annie",female,35.7,1,1,712101,15.971,,C
54,0,3,"Miller, Mr. Arthur",male,33.7,5,0,566265,5.6739,,S
55,0,3,"Miller, Dr. Charles",male,26.8,0,0,271456,9.7089,F143,S
56,1,3,"Johnson, Mr. Henry",male,,0,0,16714,17.5384,F90,S
57,1,1,"Miller, Miss. Sarah",female,38,1,0,116680,44.2624,,S
58,1,1,"Williams, Miss. Mary",female,23.2,0,0,873669,166.907,B29,C
59,1,1,"Anderson, Mr. Arthur",male,38.6,1,0,418107,119.7016,,S
60,0,2,"Taylor, Rev. Edward",male,45.3,0,0,504771,26.0458,,S
61,1,2,"Johnson, Miss. Ellen",female,22.4,0,0,586587,27.2654,,S
62,0,2,"Williams, Mr. Robert",male,13.1,4,0,468383,10,,S
63,0,3,"Anderson, Mrs. Florence",female,,0,0,861556,16.9554,C49,S
64,0,2,"Smith, Rev. Charles",male,21.5,1,0,889484,13.5406,,S
65,0,2,"Anderson, Mr. Robert",male,23.1,0,0,986143,14.3846,,S
66,0,3,"Wilson, Mr. George",male,37.6,0,0,837344,15.9832,,S
67,0,1,"Miller, Mr. John",male,46.1,0,0,911174,122.622,,Q
68,1,3,"Miller, Mr. John",male,30.3,0,0,478668,6.8784,,S
69,1,1,"Smith, Miss. Mary",female,32.5,1,0,78446,52.2801,,S
70,0,3,"Jones, Mr. William",male,52.1,0,2,224862,26.2829,,S
71,0,3,"Davis, Mr. Charles",male,,0,0,71516,17.423,,S
72,0,1,"Johnson, Mr. Charles",male,63.8,0,2,659511,33.9111,,S
73,1,1,"Williams, Mr. James",male,,1,0,447466,26,,C
74,1,3,"Williams, Rev. Edward",male,7.1,0,0,701476,5.6037,,C
75,0,3,"Jones, Dr. John",male,39.8,1,2,93521,24.7233,,S
76,1,3,"Williams, Miss. Edith",female,36,0,0,425367,14.239,G41,S
77,0,3,"Brown, Rev. Charles",male,46.8,0,0,922105,8.0447,,Q
78,1,1,"Smith, Mr. Edward",male,,1,0,605654,273.4775,,C
79,1,2,"Miller, Mr. Edward",male,,0,0,185369,46.009,,S
80,1,1,"Miller, Miss. Margaret",female,35.9,0,0,575176,328.0087,,S
81,1,3,"Johnson, Mrs. Florence",female,,0,0,328339,25.1752,,S
82,1,3,"Williams, Mrs. Mary",female,42.8,0,0,880442,8.8008,,S
83,0,2,"Johnson, Mr. John",male,22.5,1,0,736376,30.5246,,S
84,0,1,"Wilson, Mr. Charles",male,37.7,0,2,216051,74.9255,,S
85,1,2,"Smith, Mr. John",male,51.7,1,0,507890,37.6992,,S
86,0,2,"Miller, Mr. Charles",male,35.1,0,0,195406,33.2395,,S
87,0,3,"Williams, Rev. William",male,14.5,0,1,632762,14.2167,,C
88,0,3,"Davis, Mr. Arthur",male,35.8,2,0,664274,10.0639,,C
89,0,3,"Johnson, Dr. Henry",male,45.6,0,0,602633,0.892,D117,S
90,0,3,"Wilson, Mr. Edward",male,22.1,0,0,967265,10.4695,,C
91,1,1,"Smith, Miss. Mary",female,41.5,0,0,656905,69.9487,,S
92,1,3,"Davis, Mr. Arthur",male,,0,0,168002,17.7506,,C
93,1,3,"Johnson, Mr. William",male,19.8,0,1,69117,0,,S
94,1,3,"Smith, Miss. Ellen",female,20,0,2,819527,11.8456,,S
95,0,3,"Anderson, Mr. Henry",male,28.4,0,0,742842,0.5499,A36,S
96,1,3,"Miller, Miss. Margaret",female,12.5,0,0,13991,21.1156,,S
97,0,3,"Jones, Col. Charles",male,18.5,0,0,33519,20.0573,,C
98,0,2,"Williams, Mr. George",male,24.3,0,0,823089,20.3643,,S
99,0,1,"Williams, Miss. Florence",female,,0,2,797258,159.9296,,S
100,1,1,"Anderson, Mrs. Elizabeth",female,29.1,0,0,183697,79.3448,,S
101,1,1,"Anderson, Miss. Annie",female,33.5,3,0,878481,53.875,,S
102,1,3,"Johnson, Mr. Arthur",male,24.8,0,1,552089,16.0237,,S
103,0,2,"Johnson, Mr. John",male,32.9,1,0,433062,28.7512,,S
104,1,3,"Brown, Mr. William",male,42.1,0,0,49566,21.7316,,C
105,0,3,"Jones, Col. James",male,11.6,0,0,688517,3.1143,,C
106,1,2,"Brown, Miss. Elizabeth",female,21.6,0,1,169435,14.7549,,Q
107,0,2,"Davis, Mr. Robert",male,10.2,0,0,978063,28.4698,,S
108,1,3,"Taylor, Mrs. Edith",female,14.5,0,1,402938,3.9614,,S
109,1,1,"Wilson, Dr. Edward",male,,0,0,932640,173.8558,,S
110,1,1,"Brown, Mr. Robert",male,63.3,0,1,723297,41.6741,,S
111,0,2,"Jones, Mr. William",male,22.7,2,1,551709,27.9162,,S
112,1,1,"Davis, Miss. Annie",female,27.4,0,0,266080,218.0374,F106,Q
113,0,3,"Williams, Miss. Ellen",female,17.1,0,0,267230,9.5731,,C
114,1,3,"Williams, Miss. Emma",female,24,1,0,88027,1.5748,,Q
115,0,3,"Wilson, Mrs. Alice",female,15,0,0,541834,11.4853,G83,C
116,1,3,"Brown, Dr. Edith",female,38.6,0,0,343583,18.3919,,C
117,0,3,"Johnson, Miss. Mary",female,,1,0,711983,2.1302,,C
118,1,1,"Miller, Col. James",male,37.7,1,0,812838,51.4394,G26,S
119,0,3,"Johnson, Mr. Henry",male,40.1,1,0,402353,5.3525,,
120,1,3,"Jones, Col. Edward",male,22.8,0,0,281969,8.6531,,S
121,1,3,"Johnson, Lady. Ellen",female,18.5,0,0,999327,17.7761,,S
122,1,3,"Jones, Mrs. Margaret",female,,2,0,251569,7.0291,,S
123,0,2,"Jones, Rev. Edward",male,27.8,0,1,306317,21.1568,,S
124,1,1,"Smith, Miss. Mary",female,15,0,0,271536,61.1709,,S
125,1,1,"Taylor, Miss. Mary",female,13.9,0,0,327763,84.2533,A58,Q
126,0,2,"Wilson, Mr. Charles",male,,0,2,355258,37.4354,D90,C
127,0,3,"Davis, Mr. Robert",male,31.1,0,0,379215,0,B125,S
