PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,Title,IsAlone,SmallFamily,LargeFamily,HasCabin,CabinDeck,FareLog,FareBand,AgeBand,IsChild,IsSenior,Sex_Pclass,IsWomanOrChild
1,1,2,"Johnson, Mrs. Emma",female,27.4,0,0,718985,18.2249,,S,1,Mrs,1,0,0,0,,2.9562063138177113,Mid,Young,0,0,female_2,1
2,1,3,"Wilson, Miss. Emma",female,12.9,0,0,701323,6.5113,D62,C,1,Miss,1,0,0,1,D,2.016408553325489,Low,Teen,0,0,female_3,1
3,1,3,"Davis, Mr. George",male,39.6,0,2,921439,38.0197,,S,3,Mr,0,1,0,0,,3.6640666468004683,VHigh,Middle,0,0,male_3,0
4,1,3,"Anderson, Miss. Margaret",female,35.8,0,0,253244,3.6581,,S,1,Miss,1,0,0,0,,1.5386076396730968,Low,Middle,0,0,female_3,1
5,1,1,"Smith, Mr. Edward",male,46.9,0,0,150251,55.8612,,S,1,Mr,1,0,0,0,,4.04061321046727,VHigh,Middle,0,0,male_1,0
6,1,1,"Wilson, Rev. Charles",male,50.3,0,0,890872,70.8563,,S,1,Rev,1,0,0,0,,4.274668291353367,VHigh,Middle,0,0,male_1,0
7,1,1,"Smith, Mrs. Mary",female,33.0,1,0,533743,171.9383,,C,2,Mrs,0,1,0,0,,5.152934883485126,VHigh,Young,0,0,female_1,1
8,0,3,"Johnson, Mr. Thomas",male,30.65,0,2,903081,10.8825,B81,S,3,Mr,0,1,0,1,B,2.4750667295060276,Mid,Young,0,0,male_3,0
9,0,3,"Anderson, Rev. Thomas",male,36.0,0,0,502426,32.3124,,S,1,Rev,1,0,0,0,,3.505929700045385,High,Middle,0,0,male_3,0
10,1,3,"Brown, Mr. Henry",male,21.2,0,2,21955,0.0,,Q,3,Mr,0,1,0,0,,0.0,Low,Young,0,0,male_3,0
11,1,1,"Davis, Mr. James",male,30.65,1,0,779432,35.108,,S,2,Mr,0,1,0,0,,3.5865144474359085,VHigh,Young,0,0,male_1,0
12,1,3,"Brown, Mr. James",male,31.8,1,0,410414,0.0,,S,2,Mr,0,1,0,0,,0.0,Low,Young,0,0,male_3,0
13,0,3,"Miller, Col. John",male,25.3,0,0,470372,21.0852,,S,1,Col,1,0,0,0,,3.094907700927793,High,Young,0,0,male_3,0
14,1,1,"Jones, Dr. William",male,32.4,0,1,316732,175.0888,,S,2,Dr,0,1,0,0,,5.170988413252436,VHigh,Young,0,0,male_1,0
15,1,1,"Taylor, Miss. Florence",female,23.7,0,0,414982,106.4394,,S,1,Miss,1,0,0,0,,4.676926967687103,VHigh,Young,0,0,female_1,1
16,1,1,"Smith, Miss. Margaret",female,24.0,0,0,106626,40.9509,,C,1,Miss,1,0,0,0,,3.736499886795117,VHigh,Young,0,0,female_1,1
17,1,2,"Brown, Mr. Charles",male,45.6,0,0,718930,15.998,,S,1,Mr,1,0,0,0,,2.8330956900764344,Mid,Middle,0,0,male_2,0
18,0,3,"Anderson, Dr. Edward",male,21.5,1,0,866306,29.0861,,S,2,Dr,0,1,0,0,,3.4040632710752003,High,Young,0,0,male_3,0
19,0,2,"Jones, Col. Charles",male,16.4,0,2,714039,37.3674,C25,C,3,Col,0,1,0,1,C,3.6472081406911356,VHigh,Teen,0,0,male_2,0
20,0,2,"Williams, Mr. William",male,37.0,1,0,387261,19.167,F22,S,2,Mr,0,1,0,1,F,3.0040476051577047,Mid,Middle,0,0,male_2,0
21,0,3,"Brown, Mr. George",male,45.4,0,0,932805,5.6121,D75,S,1,Mr,1,0,0,1,D,1.8889013038613498,Low,Middle,0,0,male_3,0
22,0,1,"Wilson, Mr. George",male,39.3,0,0,680504,187.7539,,S,1,Mr,1,0,0,0,,5.240444050167328,VHigh,Middle,0,0,male_1,0
23,0,2,"Anderson, Mr. George",male,42.9,1,0,417000,31.9898,C56,C,2,Mr,0,1,0,1,C,3.496198422778949,High,Middle,0,0,male_2,0
24,0,2,"Davis, Mr. Robert",male,20.2,0,2,602247,40.5984,G131,C,3,Mr,0,1,0,1,G,3.7280617049890923,VHigh,Young,0,0,male_2,0
25,0,3,"Davis, Mr. Henry",male,11.5,0,0,542560,23.0701,F15,Q,1,Mr,1,0,0,1,F,3.180970406335582,High,Child,1,0,male_3,1
26,0,3,"Brown, Col. James",male,49.5,0,0,142645,24.4699,,C,1,Col,1,0,0,0,,3.2374973627959864,High,Middle,0,0,male_3,0
27,1,1,"Wilson, Miss. Sarah",female,7.5,0,1,34419,139.2999,,S,2,Miss,0,1,0,0,,4.943782274349786,VHigh,Child,1,0,female_1,1
28,0,3,"Wilson, Mrs. Margaret",female,40.7,5,0,747699,22.8864,F141,S,6,Mrs,0,0,1,1,F,3.1733092593171888,High,Middle,0,0,female_3,1
29,0,3,"Taylor, Mr. Arthur",male,47.3,0,0,501986,16.219,,C,1,Mr,1,0,0,0,,2.846013425304049,Mid,Middle,0,0,male_3,0
30,1,1,"Wilson, Miss. Ellen",female,22.0,5,0,58555,102.153,,S,6,Miss,0,0,1,0,,4.636213322952792,VHigh,Young,0,0,female_1,1
31,0,3,"Brown, Col. Edward",male,35.9,4,0,146248,21.1589,F36,S,5,Col,0,0,1,1,F,3.098239221657858,High,Middle,0,0,male_3,0
32,1,1,"Anderson, Lady. Alice",female,52.9,1,0,177233,252.9063,,S,2,Mrs,0,1,0,0,,5.536965301321269,VHigh,Middle,0,0,female_1,1
33,1,1,"Smith, Miss. Elizabeth",female,63.0,0,2,728800,126.144,,S,3,Miss,0,1,0,0,,4.845320302394518,VHigh,Senior,0,1,female_1,1
34,1,3,"Brown, Mr. Henry",male,42.1,0,0,773421,0.0543,,C,1,Mr,1,0,0,0,,0.05287703960076692,Low,Middle,0,0,male_3,0
35,0,3,"Wilson, Dr. George",male,30.7,1,0,724222,8.3635,G140,S,2,Dr,0,1,0,1,G,2.236819152218426,Low,Young,0,0,male_3,0
36,1,3,"Miller, Mr. William",male,33.5,0,2,132082,11.8613,,S,3,Mr,0,1,0,0,,2.554222802347328,Mid,Young,0,0,male_3,0
37,0,2,"Jones, Mr. William",male,30.65,0,0,680524,41.8266,,Q,1,Mr,1,0,0,0,,3.7571594048666146,VHigh,Young,0,0,male_2,0
